,0
s_fTcpWindown,36067.828618801184
s_fLenMax,791.8916645731799
s_lenMax,921.9518966989901
s_fMinSegSize,19.68655981510325
s_bLenMax,311.14907300406975
s_lenMin,15.879827161734411
s_fLenMean,217.10083906948702
s_fLenSd,627.1651811284731
s_fPayloadSum,165310.872803095
s_bTcpWindown,13573.190232628247
s_fwdSegSizeAvg,217.10083906948702
s_bytesPerSecond,813807.3556850726
s_fLenMin,22.194272220268303
s_avgPktSize,250.38031452544843
s_bwdSegSizeAvg,135.84510877757123
s_lenMean,250.38031452544843
s_lenSd,801.9758930814451
payloadSum,264498.5485203236
s_ack,219.49276993418079
s_fHeaderBytes,4537.22677988243
s_bHeaderBytes,2653.6165703662764
s_bPktsCounts,110.60740591870572
s_flowIATMax,16122.657810380344
s_bLenMean,135.84510877757123
s_bPayloadSum,99187.58570064814
s_duration,33550.37418479626
s_fIATMax,15870.445882530272
s_flowIATMean,587718.5593428126
s_fActDataPkts,145.2228809727177
s_flowIATTotal,617411.4609757323
s_idleMean,14030.855629804551
s_fIATTotal,32624.151012410188
s_PktsPerSecond,2374.055438878561
s_fIATMean,3728.2697382304177
s_fPktsCounts,164.18073657237602
s_flowIATSd,357192843.9419183
s_fPktsPerSecond,1694.3398683615535
s_bLenSd,228.48779580967692
s_idleMax,15713.399186052355
s_idleMin,12445.853529618651
s_bPktsPerSecond,679.6444355122343
s_bIATMean,1582.0001306335728
proto,8.291554037079838
s_fBulkSizeTotal,162872.17322011758
s_psh,22.71379189066975
s_subflowForwardBytes,26658.350580314527
s_bIATTotal,14203.312867406923
s_fBulkDuration,1754.7750188413806
s_fPSHCnt,17.852052454403857
